transaction_id,product_id,sale_date,quantity,price_per_unit
70,105,2025-01-13,5,24.0
71,108,2025-01-22,4,24.03
72,109,2025-01-12,3,33.98
73,103,2025-01-17,1,29.88
74,102,2025-01-22,3,21.57
75,104,2025-01-26,2,48.05
76,100,2025-01-01,1,27.05
77,109,2025-01-20,1,20.57
78,102,2025-01-23,1,18.82
79,104,2025-01-19,1,13.58
80,100,2025-01-01,5,12.22
81,109,2025-01-27,1,34.0
82,105,2025-01-14,2,25.04
83,105,2025-01-12,2,24.48
84,106,2025-01-07,5,10.46
85,109,2025-01-10,1,40.04
86,101,2025-01-21,2,36.32
87,109,2025-01-28,4,17.83
88,105,2025-01-09,1,37.97
89,109,2025-01-26,1,40.52
90,101,2025-01-01,2,31.78
91,105,2025-01-18,5,32.71
92,105,2025-01-04,2,14.72
93,103,2025-01-20,5,23.32
94,110,2025-01-24,1,27.77
95,101,2025-01-19,4,21.05
96,108,2025-01-31,5,30.05
97,107,2025-01-31,5,34.38
98,103,2025-01-10,3,23.45
99,102,2025-01-10,5,20.97
100,102,2025-01-31,5,47.74
101,110,2025-01-04,4,10.2
102,105,2025-01-11,4,33.59
103,106,2025-01-01,1,25.79
104,103,2025-01-10,2,39.68
105,100,2025-01-12,3,36.39
106,109,2025-01-31,4,24.91
107,110,2025-01-29,5,42.91
108,105,2025-01-25,3,34.5
109,104,2025-01-13,3,17.16
110,100,2025-01-18,5,40.91
111,106,2025-01-09,3,34.35
112,107,2025-01-14,1,34.36
113,107,2025-01-20,5,22.13
114,107,2025-01-16,4,39.66
115,109,2025-01-12,3,43.46
116,102,2025-01-02,1,35.81
117,104,2025-01-26,5,10.35
118,100,2025-01-09,2,13.4
119,101,2025-01-31,4,31.6
120,107,2025-01-09,4,31.66
121,109,2025-01-15,1,41.06
122,110,2025-01-27,3,36.46
123,106,2025-01-01,5,29.93
124,102,2025-01-10,1,34.8
125,103,2025-01-30,5,27.07
126,105,2025-01-01,2,34.97
127,108,2025-01-27,2,22.29
128,108,2025-01-04,3,37.52
129,101,2025-01-11,3,47.9
130,107,2025-01-03,1,20.52
131,108,2025-01-12,3,44.42
132,101,2025-01-27,5,30.79
133,108,2025-01-26,1,25.99
134,107,2025-01-05,5,21.66
135,109,2025-01-14,3,34.12
136,102,2025-01-22,3,14.12
137,103,2025-01-25,1,43.37
138,102,2025-01-27,3,37.71
139,107,2025-01-25,5,28.09
140,105,2025-01-10,4,44.98
141,107,2025-01-10,3,19.17
142,109,2025-01-09,1,22.27
143,105,2025-01-02,4,18.09
144,104,2025-01-30,1,18.85
145,106,2025-01-29,3,42.41
146,100,2025-01-12,3,41.32
147,104,2025-01-10,2,41.94
148,102,2025-01-28,4,44.36
149,101,2025-01-27,1,17.29
150,100,2025-01-20,5,20.01
151,102,2025-01-16,1,14.14
152,102,2025-01-22,3,17.41
153,109,2025-01-05,5,35.7
154,105,2025-01-01,4,42.78
155,109,2025-01-29,2,38.47
156,109,2025-01-02,1,47.88
157,109,2025-01-18,2,32.42
158,103,2025-01-08,1,18.45
159,100,2025-01-17,3,22.55
160,102,2025-01-17,3,39.67
161,100,2025-01-01,3,20.06
162,105,2025-01-24,1,28.22
163,108,2025-01-03,5,12.13
164,103,2025-01-08,3,41.66
165,108,2025-01-05,4,42.76
166,101,2025-01-31,1,41.38
167,105,2025-01-30,3,49.54
168,107,2025-01-13,4,21.12
169,106,2025-01-27,1,32.07
170,100,2025-01-11,2,24.72
171,110,2025-01-02,4,41.43
172,100,2025-01-06,3,46.59
173,110,2025-01-21,5,13.65
174,108,2025-01-23,5,28.36
175,109,2025-01-05,5,41.61
176,107,2025-01-05,5,40.23
177,110,2025-01-22,4,17.31
178,109,2025-01-13,1,45.94
179,109,2025-01-22,5,16.66
180,101,2025-01-12,3,30.83
181,108,2025-01-01,2,18.19
182,104,2025-01-04,5,43.02
183,100,2025-01-09,5,30.46
184,108,2025-01-06,2,11.03
185,100,2025-01-15,1,16.72
186,109,2025-01-30,3,46.02
187,105,2025-01-03,5,39.02
188,109,2025-01-03,4,12.18
189,101,2025-01-05,5,46.5
190,107,2025-01-19,3,21.08
191,107,2025-01-12,3,10.62
192,104,2025-01-29,5,22.06
193,107,2025-01-12,5,45.14
194,110,2025-01-28,2,21.27
195,108,2025-01-29,2,44.08
196,109,2025-01-13,3,44.86
197,109,2025-01-03,5,15.26
198,105,2025-01-31,3,40.47
199,100,2025-01-15,5,15.61
200,106,2025-01-21,4,28.37
201,110,2025-01-02,1,10.16
202,103,2025-01-08,2,34.5
203,109,2025-01-10,3,22.47
204,107,2025-01-03,3,15.07
205,103,2025-01-31,4,33.21
206,101,2025-01-26,1,24.38
207,106,2025-01-28,1,34.11
208,101,2025-01-06,1,11.79
209,101,2025-01-28,1,13.45
210,102,2025-01-03,1,14.47
211,105,2025-01-04,3,35.12
212,101,2025-01-30,4,46.16
213,108,2025-01-07,4,38.27
214,108,2025-01-30,1,27.17
215,106,2025-01-22,2,14.52
216,104,2025-01-19,1,41.54
217,105,2025-01-31,1,29.96
218,110,2025-01-24,2,32.11
219,108,2025-01-01,5,36.33
220,110,2025-01-05,1,48.62
221,101,2025-01-02,3,36.64
222,110,2025-01-21,3,34.8
223,100,2025-01-26,1,25.82
224,106,2025-01-16,4,28.7
225,102,2025-01-20,4,18.08
226,105,2025-01-21,2,33.44
227,100,2025-01-11,3,47.49
228,109,2025-01-01,2,14.07
229,100,2025-01-22,5,13.71
230,103,2025-01-03,4,18.08
231,110,2025-01-14,5,35.64
232,100,2025-01-21,4,42.58
233,107,2025-01-17,1,39.87
234,108,2025-01-26,2,19.5
235,107,2025-01-07,4,40.28
236,107,2025-01-05,3,43.69
237,104,2025-01-18,5,43.72
238,105,2025-01-15,1,36.86
239,106,2025-01-22,2,28.65
240,110,2025-01-03,1,43.0
241,105,2025-01-25,3,11.38
242,108,2025-01-18,4,24.09
243,110,2025-01-28,5,34.78
244,106,2025-01-17,5,25.59
245,102,2025-01-11,3,40.21
246,107,2025-01-17,4,45.48
247,104,2025-01-07,1,27.44
248,108,2025-01-01,1,36.72
249,100,2025-01-16,5,36.0
250,100,2025-01-15,5,38.72
251,100,2025-01-22,3,31.54
252,110,2025-01-07,5,42.56
253,103,2025-01-04,4,31.07
254,105,2025-01-06,4,49.7
255,107,2025-01-31,2,28.11
256,109,2025-01-03,4,41.47
257,103,2025-01-29,5,10.54
258,104,2025-01-16,4,28.44
259,109,2025-01-25,1,20.39
260,109,2025-01-10,2,29.61
261,101,2025-01-20,4,48.09
262,103,2025-01-23,4,25.95
263,104,2025-01-04,5,10.06
264,110,2025-01-26,1,31.81
265,107,2025-01-31,2,30.75
266,103,2025-01-17,3,37.12
267,108,2025-01-22,2,21.96
268,101,2025-01-18,5,15.71
269,106,2025-01-25,2,10.28
270,104,2025-01-01,2,14.16
271,103,2025-01-08,1,20.87
272,105,2025-01-27,4,32.66
273,100,2025-01-30,2,45.77
274,101,2025-01-17,4,41.0
275,106,2025-01-30,1,14.71
276,108,2025-01-01,1,12.88
277,109,2025-01-12,2,10.08
278,102,2025-01-17,5,49.21
279,101,2025-01-27,4,47.5
280,102,2025-01-04,3,28.92
281,105,2025-01-16,3,24.06
282,106,2025-01-30,3,11.0
283,108,2025-01-26,5,15.32
284,100,2025-01-11,2,14.3
285,108,2025-01-22,2,49.99
286,101,2025-01-09,5,30.66
287,104,2025-01-16,5,41.76
288,100,2025-01-09,3,15.0
289,110,2025-01-28,2,29.57
290,101,2025-01-11,2,38.3
291,100,2025-01-22,2,37.75
292,109,2025-01-08,5,21.01
293,103,2025-01-29,1,19.1
294,106,2025-01-22,5,38.08
295,103,2025-01-27,5,46.26
296,101,2025-01-04,3,17.03
297,107,2025-01-15,1,36.32
298,107,2025-01-21,3,13.91
299,105,2025-01-04,3,18.41
300,107,2025-01-21,5,28.05
301,110,2025-01-18,1,25.26
302,103,2025-01-20,1,37.85
303,103,2025-01-06,2,29.17
304,102,2025-01-13,2,14.47
305,108,2025-01-24,3,14.6
306,109,2025-01-12,1,20.74
307,106,2025-01-03,3,44.79
308,103,2025-01-30,5,10.5
309,107,2025-01-20,3,38.66
310,107,2025-01-14,3,22.47
311,110,2025-01-24,4,34.0
312,103,2025-01-17,1,15.38
313,103,2025-01-28,2,10.69
314,105,2025-01-11,4,12.9
315,107,2025-01-05,5,26.47
316,102,2025-01-01,5,47.41
317,102,2025-01-08,1,14.34
318,108,2025-01-08,5,37.6
319,103,2025-01-14,4,34.92
320,106,2025-01-14,1,46.05
321,109,2025-01-30,2,49.62
322,106,2025-01-19,5,42.29
323,110,2025-01-13,3,36.75
324,105,2025-01-25,5,41.17
325,102,2025-01-17,3,30.34
326,109,2025-01-22,2,35.3
327,109,2025-01-31,5,23.25
328,105,2025-01-07,4,31.48
329,105,2025-01-28,3,24.53
330,105,2025-01-25,2,28.8
331,103,2025-01-08,2,26.43
332,108,2025-01-26,3,41.98
333,105,2025-01-07,4,30.03
334,102,2025-01-01,3,20.28
335,109,2025-01-20,5,16.43
336,100,2025-01-25,4,40.29
337,104,2025-01-21,4,17.04
338,103,2025-01-07,4,44.33
339,103,2025-01-15,2,22.75
340,106,2025-01-23,4,43.82
341,106,2025-01-17,5,43.96
342,110,2025-01-22,1,14.65
343,107,2025-01-02,3,34.04
344,110,2025-01-06,5,46.07
345,107,2025-01-23,5,16.6
346,110,2025-01-19,5,45.0
347,103,2025-01-15,3,10.15
348,110,2025-01-18,1,45.01
349,101,2025-01-18,2,39.81
350,108,2025-01-14,5,45.42
351,109,2025-01-07,5,10.92
352,101,2025-01-03,3,20.8
353,108,2025-01-16,2,16.14
354,105,2025-01-14,5,25.53
355,105,2025-01-31,5,19.79
356,107,2025-01-28,1,45.02
357,109,2025-01-25,4,25.9
358,106,2025-01-03,3,45.35
359,106,2025-01-21,2,29.48
360,105,2025-01-23,3,31.89
361,102,2025-01-24,2,29.55
362,105,2025-01-04,2,33.49
363,110,2025-01-11,4,31.59
364,104,2025-01-07,3,10.82
365,106,2025-01-07,3,47.69
366,107,2025-01-25,3,27.27
367,108,2025-01-29,1,24.2
368,103,2025-01-27,2,38.21
369,100,2025-01-10,5,36.35
370,100,2025-01-14,4,26.78
371,100,2025-01-01,4,46.61
372,110,2025-01-29,2,41.02
373,104,2025-01-13,1,16.11
374,108,2025-01-18,5,12.62
375,106,2025-01-16,4,12.09
376,100,2025-01-18,3,24.18
377,100,2025-01-25,1,10.93
378,107,2025-01-20,3,22.68
379,106,2025-01-08,1,21.74
380,108,2025-01-29,2,38.43
381,107,2025-01-04,2,27.76
382,104,2025-01-09,2,17.62
383,110,2025-01-18,5,12.28
384,108,2025-01-04,2,35.46
385,105,2025-01-30,2,10.63
386,101,2025-01-10,2,30.05
387,105,2025-01-13,1,19.55
388,110,2025-01-12,2,43.8
389,105,2025-01-09,3,17.91
390,104,2025-01-16,3,35.76
391,109,2025-01-07,1,20.14
392,100,2025-01-28,2,47.12
393,110,2025-01-19,1,31.29
394,103,2025-01-12,1,48.14
395,100,2025-01-01,3,15.7
396,102,2025-01-03,3,45.54
397,100,2025-01-04,5,43.3
398,102,2025-01-03,5,25.62
399,102,2025-01-12,5,42.59
400,102,2025-01-21,3,12.89
401,102,2025-01-14,5,40.52
402,103,2025-01-18,1,32.21
403,109,2025-01-07,1,22.63
404,105,2025-01-20,5,39.92
405,109,2025-01-05,4,20.32
406,109,2025-01-17,4,27.86
407,108,2025-01-04,1,31.33
408,102,2025-01-26,2,31.86
409,106,2025-01-21,1,24.34
410,100,2025-01-17,4,32.99
411,104,2025-01-17,2,15.65
412,108,2025-01-31,1,33.0
413,107,2025-01-18,2,32.74
414,107,2025-01-04,2,41.76
415,110,2025-01-03,3,13.37
416,110,2025-01-10,1,49.28
417,101,2025-01-05,3,40.97
418,107,2025-01-14,2,15.95
419,109,2025-01-13,1,23.75
420,110,2025-01-11,3,46.35
421,101,2025-01-25,1,20.7
422,108,2025-01-01,2,37.33
423,105,2025-01-06,2,25.59
424,109,2025-01-23,5,22.45
425,104,2025-01-31,2,29.91
426,109,2025-01-05,5,14.83
427,106,2025-01-07,1,31.88
428,109,2025-01-26,3,24.54
429,109,2025-01-23,1,27.6
430,105,2025-01-08,3,25.91
431,105,2025-01-02,5,25.75
432,100,2025-01-15,5,40.23
433,108,2025-01-24,4,30.96
434,102,2025-01-03,5,47.31
435,102,2025-01-24,3,18.18
436,104,2025-01-21,2,10.92
437,102,2025-01-22,5,29.26
438,106,2025-01-15,3,22.73
439,100,2025-01-24,3,24.27
440,107,2025-01-16,4,19.94
441,100,2025-01-04,1,10.57
442,101,2025-01-30,1,22.08
443,105,2025-01-02,3,22.1
444,106,2025-01-13,1,26.38
445,101,2025-01-25,3,11.71
446,110,2025-01-18,4,21.08
447,105,2025-01-30,5,35.41
448,103,2025-01-11,1,23.46
449,107,2025-01-14,2,24.99
450,106,2025-01-26,3,43.98
451,101,2025-01-13,5,28.81
452,104,2025-01-10,1,15.86
453,110,2025-01-27,1,36.73
454,110,2025-01-17,3,43.01
455,105,2025-01-10,1,43.84
456,108,2025-01-05,3,49.04
457,103,2025-01-19,2,27.92
458,110,2025-01-25,4,34.46
459,108,2025-01-28,4,47.54
460,108,2025-01-26,4,46.6
461,101,2025-01-12,2,38.74
462,103,2025-01-06,2,30.48
463,102,2025-01-21,1,32.73
464,101,2025-01-06,3,30.5
465,107,2025-01-21,2,13.16
466,102,2025-01-16,3,28.98
467,109,2025-01-02,3,16.31
468,108,2025-01-08,3,25.65
469,107,2025-01-03,3,48.23
470,100,2025-01-16,5,31.43
471,100,2025-01-09,5,15.82
472,103,2025-01-31,1,43.1
473,109,2025-01-19,2,21.74
474,106,2025-01-16,3,47.25
475,108,2025-01-16,4,34.77
476,103,2025-01-07,2,16.85
477,106,2025-01-18,1,48.12
478,102,2025-01-30,3,10.07
479,106,2025-01-20,3,16.16
480,108,2025-01-03,1,41.01
481,108,2025-01-15,5,28.45
482,107,2025-01-31,1,16.11
483,104,2025-01-19,3,32.58
484,103,2025-01-06,2,45.55
485,110,2025-01-21,2,12.38
486,104,2025-01-12,3,11.8
487,103,2025-01-27,3,41.38
488,103,2025-01-24,1,44.85
489,108,2025-01-30,1,11.19
490,100,2025-01-23,2,37.97
491,100,2025-01-03,5,42.93
492,102,2025-01-20,4,46.42
493,100,2025-01-05,3,46.53
494,106,2025-01-19,4,17.76
495,107,2025-01-23,2,32.19
496,107,2025-01-15,3,15.37
497,102,2025-01-24,3,35.7
498,101,2025-01-25,2,13.4
499,106,2025-01-27,4,24.56
500,102,2025-01-23,1,49.7
501,101,2025-01-15,4,17.12
502,104,2025-01-01,5,24.45
503,109,2025-01-31,2,37.84
504,106,2025-01-22,2,34.23
505,110,2025-01-19,3,39.37
506,109,2025-01-01,5,44.66
507,107,2025-01-05,4,37.5
508,108,2025-01-19,1,16.36
509,101,2025-01-27,4,49.17
510,105,2025-01-31,3,37.66
511,105,2025-01-21,2,13.04
512,100,2025-01-27,5,10.26
513,105,2025-01-29,1,31.45
514,109,2025-01-11,3,44.21
515,105,2025-01-11,2,20.96
516,110,2025-01-06,1,31.85
517,109,2025-01-17,5,35.38
518,106,2025-01-16,1,41.55
519,109,2025-01-01,1,11.85
520,101,2025-01-22,2,49.16
521,109,2025-01-19,2,47.69
522,109,2025-01-04,1,15.06
523,106,2025-01-06,1,18.5
524,107,2025-01-31,1,22.16
525,103,2025-01-26,5,25.46
526,108,2025-01-28,4,48.08
527,101,2025-01-16,1,48.3
528,103,2025-01-19,4,12.71
529,105,2025-01-03,4,30.92
530,107,2025-01-10,4,44.37
531,109,2025-01-01,1,28.63
532,104,2025-01-13,2,21.51
533,100,2025-01-05,3,36.41
534,105,2025-01-15,5,45.08
535,107,2025-01-02,2,17.51
536,104,2025-01-25,5,49.92
537,109,2025-01-21,3,16.18
538,104,2025-01-12,1,33.28
539,100,2025-01-27,4,32.69
540,100,2025-01-15,3,37.29
541,101,2025-01-01,1,16.88
542,102,2025-01-27,1,25.99
543,109,2025-01-12,3,36.85
544,100,2025-01-20,1,29.37
545,107,2025-01-08,2,49.68
546,107,2025-01-19,5,30.51
547,105,2025-01-23,5,12.74
548,108,2025-01-16,3,37.51
549,105,2025-01-31,3,46.41
550,105,2025-01-22,3,29.23
551,101,2025-01-27,1,28.01
552,108,2025-01-22,1,43.0
553,110,2025-01-09,2,29.7
554,103,2025-01-01,4,27.99
555,108,2025-01-16,4,32.57
556,109,2025-01-24,1,44.46
557,105,2025-01-27,4,35.96
558,104,2025-01-29,4,41.95
559,107,2025-01-16,3,24.82
560,103,2025-01-29,1,42.36
561,101,2025-01-31,2,22.26
562,109,2025-01-13,5,12.7
563,109,2025-01-31,2,20.02
564,110,2025-01-28,2,23.91
565,107,2025-01-14,3,17.07
566,102,2025-01-01,4,49.88
567,109,2025-01-01,4,14.09
568,103,2025-01-12,2,17.85
569,106,2025-01-07,1,21.38
570,100,2025-01-05,2,11.97
571,104,2025-01-21,5,35.81
572,108,2025-01-10,3,17.55
573,105,2025-01-18,2,36.54
574,105,2025-01-15,4,20.01
575,101,2025-01-06,4,41.33
576,101,2025-01-05,5,18.2
577,110,2025-01-13,1,32.66
578,100,2025-01-16,1,26.56
579,105,2025-01-17,5,44.84
580,101,2025-01-01,4,10.1
581,109,2025-01-01,5,38.5
582,101,2025-01-30,3,23.82
583,100,2025-01-29,3,24.63
584,100,2025-01-11,5,23.76
585,110,2025-01-19,5,44.58
586,104,2025-01-04,2,31.08
587,100,2025-01-21,3,34.15
588,108,2025-01-26,1,19.48
589,102,2025-01-14,5,24.26
590,104,2025-01-16,4,27.81
591,100,2025-01-05,2,46.8
592,105,2025-01-22,5,47.79
593,110,2025-01-18,2,30.87
594,106,2025-01-10,1,43.91
595,108,2025-01-10,1,13.86
596,101,2025-01-02,4,44.72
597,105,2025-01-07,2,37.71
598,103,2025-01-11,5,13.31
599,101,2025-01-27,2,30.68
600,102,2025-01-01,2,49.63
601,100,2025-01-07,4,14.39
602,103,2025-01-07,2,26.77
603,104,2025-01-24,2,39.72
604,103,2025-01-20,3,40.4
605,106,2025-01-18,3,15.58
606,103,2025-01-29,2,41.94
607,102,2025-01-11,1,36.17
608,103,2025-01-25,5,44.43
609,109,2025-01-04,2,25.74
610,108,2025-01-19,1,39.98
611,103,2025-01-04,1,42.4
612,109,2025-01-01,3,14.82
613,100,2025-01-07,4,13.69
614,105,2025-01-30,4,36.18
615,104,2025-01-19,1,24.06
616,104,2025-01-03,5,26.59
617,101,2025-01-26,4,45.82
618,108,2025-01-09,2,31.69
619,102,2025-01-21,4,22.44
620,108,2025-01-11,3,30.04
621,104,2025-01-02,1,27.97
622,103,2025-01-10,2,20.05
623,105,2025-01-12,3,39.46
624,100,2025-01-27,5,17.03
625,104,2025-01-21,1,32.69
626,100,2025-01-18,1,29.68
627,108,2025-01-05,3,36.46
628,105,2025-01-03,1,21.2
629,102,2025-01-06,1,35.86
630,101,2025-01-29,4,23.52
631,105,2025-01-04,5,33.28
632,105,2025-01-08,2,18.6
633,104,2025-01-18,5,21.63
634,104,2025-01-06,1,48.91
635,108,2025-01-14,5,37.45
636,109,2025-01-23,4,21.48
637,109,2025-01-01,4,16.66
638,100,2025-01-26,2,31.39
639,109,2025-01-18,1,31.81
640,106,2025-01-18,3,27.83
641,104,2025-01-10,1,48.9
642,108,2025-01-19,5,26.53
643,107,2025-01-02,4,13.05
644,103,2025-01-05,1,46.78
645,110,2025-01-31,1,42.49
646,105,2025-01-19,4,35.78
647,107,2025-01-10,5,29.36
648,100,2025-01-30,4,38.56
649,110,2025-01-07,2,45.8
650,103,2025-01-26,1,17.33
651,107,2025-01-27,4,10.75
652,104,2025-01-12,1,34.29
653,103,2025-01-12,5,36.91
654,108,2025-01-26,3,30.99
655,101,2025-01-12,5,17.01
656,108,2025-01-04,2,33.97
657,104,2025-01-11,1,35.95
658,107,2025-01-11,2,16.47
659,104,2025-01-13,4,17.52
660,110,2025-01-29,1,32.29
661,110,2025-01-01,5,39.54
662,110,2025-01-08,2,31.83
663,101,2025-01-04,3,30.2
664,110,2025-01-14,1,33.22
665,101,2025-01-29,2,40.45
666,102,2025-01-01,2,23.07
667,102,2025-01-05,1,11.07
668,105,2025-01-01,5,42.99
669,101,2025-01-30,1,30.25
670,101,2025-01-30,2,12.43
671,106,2025-01-19,2,47.59
672,101,2025-01-13,4,32.77
673,110,2025-01-30,1,16.48
674,106,2025-01-03,2,27.25
675,107,2025-01-27,5,24.43
676,105,2025-01-28,1,45.19
677,104,2025-01-24,1,14.94
678,104,2025-01-01,4,31.66
679,108,2025-01-19,1,29.2
680,102,2025-01-29,3,48.12
681,102,2025-01-29,3,48.84
682,109,2025-01-22,5,34.3
683,102,2025-01-25,1,13.48
684,101,2025-01-28,3,48.68
685,107,2025-01-15,5,34.38
686,100,2025-01-30,1,25.44
687,100,2025-01-17,1,28.01
688,100,2025-01-23,4,35.48
689,107,2025-01-19,5,27.86
690,100,2025-01-11,2,34.94
691,109,2025-01-13,3,42.62
692,106,2025-01-02,3,43.26
693,103,2025-01-21,4,38.03
694,106,2025-01-05,2,43.4
695,107,2025-01-18,2,20.22
696,105,2025-01-27,5,28.97
697,101,2025-01-15,4,21.16
698,101,2025-01-02,3,44.07
699,101,2025-01-06,3,18.4
700,109,2025-01-26,1,42.8
701,104,2025-01-28,4,15.2
702,102,2025-01-25,3,28.47
703,100,2025-01-06,1,41.98
704,103,2025-01-17,2,14.77
705,101,2025-01-17,1,32.68
706,109,2025-01-23,5,23.08
707,109,2025-01-08,1,40.02
708,106,2025-01-23,2,46.03
709,100,2025-01-17,1,29.96
710,105,2025-01-22,1,43.14
711,109,2025-01-02,5,32.33
712,103,2025-01-26,4,11.85
713,108,2025-01-18,5,14.73
714,101,2025-01-26,5,43.34
715,106,2025-01-13,3,46.25
716,100,2025-01-21,1,25.11
717,103,2025-01-13,1,45.01
718,101,2025-01-22,5,13.87
719,105,2025-01-06,4,47.97
720,100,2025-01-15,2,26.92
721,103,2025-01-04,5,14.12
722,106,2025-01-02,2,18.44
723,108,2025-01-06,3,28.42
724,104,2025-01-08,4,41.77
725,108,2025-01-02,4,48.76
726,102,2025-01-28,4,17.16
727,102,2025-01-05,3,25.41
728,103,2025-01-26,1,33.91
729,107,2025-01-10,1,47.3
730,102,2025-01-23,4,16.73
731,102,2025-01-03,3,48.61
732,107,2025-01-18,4,13.2
733,104,2025-01-30,2,13.19
734,105,2025-01-26,1,25.22
735,105,2025-01-20,3,30.27
736,105,2025-01-08,2,37.68
737,108,2025-01-04,2,32.53
738,110,2025-01-05,1,48.8
739,101,2025-01-13,5,34.7
740,107,2025-01-29,5,19.58
741,103,2025-01-12,3,10.94
742,106,2025-01-02,4,16.34
743,100,2025-01-09,5,44.68
744,106,2025-01-11,4,13.74
745,100,2025-01-03,1,33.51
746,101,2025-01-16,1,20.7
747,100,2025-01-09,4,49.44
748,105,2025-01-15,3,31.4
749,105,2025-01-30,1,19.47
750,106,2025-01-10,3,39.14
751,105,2025-01-07,5,28.6
752,107,2025-01-08,5,33.8
753,106,2025-01-25,1,47.75
754,102,2025-01-28,1,35.47
755,108,2025-01-06,5,24.26
756,104,2025-01-19,1,21.44
757,100,2025-01-17,4,10.9
758,103,2025-01-20,4,34.07
759,102,2025-01-27,1,47.23
760,107,2025-01-21,1,16.26
761,101,2025-01-09,3,15.01
762,101,2025-01-10,1,27.41
763,108,2025-01-03,2,43.05
764,100,2025-01-27,4,37.88
765,110,2025-01-27,4,33.95
766,107,2025-01-12,4,19.0
767,104,2025-01-27,2,11.89
768,102,2025-01-02,3,31.37
769,110,2025-01-20,4,31.17
770,106,2025-01-06,3,16.87
771,106,2025-01-18,5,21.95
772,105,2025-01-07,5,35.15
773,106,2025-01-30,5,47.65
774,100,2025-01-09,3,34.25
775,105,2025-01-11,5,12.68
776,105,2025-01-26,5,19.27
777,103,2025-01-23,1,39.29
778,109,2025-01-07,5,33.59
779,106,2025-01-07,5,34.99
780,109,2025-01-13,4,39.84
781,104,2025-01-10,1,18.32
782,109,2025-01-24,3,27.88
783,102,2025-01-30,4,12.68
784,110,2025-01-28,2,39.55
785,101,2025-01-19,2,37.29
786,105,2025-01-21,2,23.78
787,102,2025-01-27,2,48.9
788,109,2025-01-20,1,13.11
789,100,2025-01-22,5,15.74
790,105,2025-01-23,4,37.06
791,110,2025-01-01,1,40.94
792,105,2025-01-28,2,49.83
793,103,2025-01-02,2,40.78
794,108,2025-01-23,5,14.48
795,100,2025-01-06,2,38.55
796,105,2025-01-02,2,14.02
797,103,2025-01-13,4,13.26
798,106,2025-01-18,5,15.77
799,107,2025-01-16,4,24.94
800,110,2025-01-05,4,36.51
801,106,2025-01-01,1,16.41
802,107,2025-01-19,3,41.85
803,110,2025-01-17,5,39.86
804,101,2025-01-26,1,13.37
805,101,2025-01-24,4,22.2
806,100,2025-01-31,1,30.76
807,102,2025-01-23,1,40.08
808,110,2025-01-15,1,18.73
809,108,2025-01-29,1,13.12
810,103,2025-01-19,3,13.46
811,110,2025-01-04,4,46.75
812,100,2025-01-25,3,15.77
813,102,2025-01-07,4,27.72
814,103,2025-01-01,3,19.27
815,103,2025-01-31,5,16.58
816,107,2025-01-31,2,33.43
817,109,2025-01-13,5,10.62
818,102,2025-01-30,5,23.18
819,108,2025-01-12,2,17.88
820,108,2025-01-03,1,40.53
